MATR_ALUNO;QUADRIMESTRE
21005914;QS 2022.1
11077115;QS 2022.1
11201722279;QS 2022.1
11093714;QS 2022.1
11202020702;QS 2022.1
21030115;QS 2022.1
11015812;QS 2022.1
21004415;QS 2022.1
11040916;QS 2022.1
11094615;QS 2022.1
11090215;QS 2022.1
11201812046;QS 2022.1
11007812;QS 2022.1
11202111835;QS 2022.1
11202021504;QS 2022.1
21052714;QS 2022.1
11202111084;QS 2022.1
11202131375;QS 2022.1
21068012;QS 2022.1
21069015;QS 2022.1
11025212;QS 2022.1
21053515;QS 2022.1
11037615;QS 2022.1
11202022247;QS 2022.1
21001516;QS 2022.1
11202130397;QS 2022.1
11201920418;QS 2022.1
11019614;QS 2022.1
21007715;QS 2022.1
11089412;QS 2022.1
11102614;QS 2022.1
11105713;QS 2022.1
11201722235;QS 2022.1
11202022279;QS 2022.1
11201721530;QS 2022.1
21050515;QS 2022.1
11202131224;QS 2022.1
11202130970;QS 2022.1
11202131934;QS 2022.1
11202130950;QS 2022.1
11202021249;QS 2022.1
11202130857;QS 2022.1
21015214;QS 2022.1
21062416;QS 2022.1
11202021767;QS 2022.1
11065011;QS 2022.1
11068315;QS 2022.1
21036711;QS 2022.1
21064714;QS 2022.1
21060715;QS 2022.1
11032016;QS 2022.1
11086315;QS 2022.1
21034213;QS 2022.1
11202131230;QS 2022.1
21012915;QS 2022.1
21038613;QS 2022.1
21024214;QS 2022.1
11084915;QS 2022.1
11108012;QS 2022.1
11058614;QS 2022.1
11201720568;QS 2022.1
11202020553;QS 2022.1
11084515;QS 2022.1
21043814;QS 2022.1
11202020273;QS 2022.1
11146809;QS 2022.1
11048515;QS 2022.1
21020115;QS 2022.1
11202020023;QS 2022.1
11058216;QS 2022.1
11202131812;QS 2022.1
11202020997;QS 2022.1
11005813;QS 2022.1
11201811919;QS 2022.1
11202130626;QS 2022.1
11020916;QS 2022.1
11068316;QS 2022.1
11202112015;QS 2022.1
21058216;QS 2022.1
11202022004;QS 2022.1
11023214;QS 2022.1
11018314;QS 2022.1
21066515;QS 2022.1
11185309;QS 2022.1
11104312;QS 2022.1
21033115;QS 2022.1
11119715;QS 2022.1
11201811976;QS 2022.1
21093315;QS 2022.1
21017916;QS 2022.1
12202210146;QS 2022.1
11056616;QS 2022.1
11022316;QS 2022.1
11201722752;QS 2022.1
21086715;QS 2022.1
11108215;QS 2022.1
11121214;QS 2022.1
11026314;QS 2022.1
21057913;QS 2022.1
11089615;QS 2022.1
11201812146;QS 2022.1
21008015;QS 2022.1
11046314;QS 2022.1
11005913;QS 2022.1
21030215;QS 2022.1
11202130365;QS 2022.1
11202130773;QS 2022.1
11014313;QS 2022.1
11202131520;QS 2022.1
11045815;QS 2022.1
21054615;QS 2022.1
11121015;QS 2022.1
11201722096;QS 2022.1
11024016;QS 2022.1
11032311;QS 2022.1
11201722582;QS 2022.1
12202210175;QS 2022.1
11202130291;QS 2022.1
11202131624;QS 2022.1
11013216;QS 2022.1
21030516;QS 2022.1
11201720266;QS 2022.1
11201921255;QS 2022.1
11201921272;QS 2022.1
11202131409;QS 2022.1
11202131702;QS 2022.1
21054815;QS 2022.1
11202021797;QS 2022.1
11032014;QS 2022.1
11202111185;QS 2022.1
11072314;QS 2022.1
11202131540;QS 2022.1
11201722129;QS 2022.1
21005716;QS 2022.1
11058111;QS 2022.1
11112115;QS 2022.1
11039411;QS 2022.1
11023612;QS 2022.1
11202020405;QS 2022.1
11202131391;QS 2022.1
11202111923;QS 2022.1
11201722822;QS 2022.1
11201811377;QS 2022.1
11039014;QS 2022.1
21046012;QS 2022.1
11202130810;QS 2022.1
11036515;QS 2022.1
11202111080;QS 2022.1
11032815;QS 2022.1
11011016;QS 2022.1
21023716;QS 2022.1
11084213;QS 2022.1
21063216;QS 2022.1
21033116;QS 2022.1
11106614;QS 2022.1
11202130921;QS 2022.1
11068411;QS 2022.1
11202131403;QS 2022.1
21088215;QS 2022.1
11201921127;QS 2022.1
11045215;QS 2022.1
11202130017;QS 2022.1
13201822590;QS 2022.1
11063515;QS 2022.1
21021714;QS 2022.1
11201811809;QS 2022.1
13201910044;QS 2022.1
11100316;QS 2022.1
11202021004;QS 2022.1
11201721779;QS 2022.1
11202021540;QS 2022.1
11202131358;QS 2022.1
11202111818;QS 2022.1
11110814;QS 2022.1
11114114;QS 2022.1
21050013;QS 2022.1
21039616;QS 2022.1
21051016;QS 2022.1
21004714;QS 2022.1
11085815;QS 2022.1
1202131841;QS 2022.1
21042015;QS 2022.1
11132608;QS 2022.1
11076916;QS 2022.1
11201722400;QS 2022.1
11015115;QS 2022.1
11201921411;QS 2022.1
11070414;QS 2022.1
11202021939;QS 2022.1
21044013;QS 2022.1
21034816;QS 2022.1
11202021161;QS 2022.1
21014216;QS 2022.1
11202130901;QS 2022.1
21060414;QS 2022.1
11030715;QS 2022.1
11092609;QS 2022.1
11057914;QS 2022.1
21053914;QS 2022.1
21006515;QS 2022.1
11112511;QS 2022.1
11201721164;QS 2022.1
11004614;QS 2022.1
21023614;QS 2022.1
11201922189;QS 2022.1
11202020285;QS 2022.1
11011910;QS 2022.1
11201920541;QS 2022.1
11202130127;QS 2022.1
11111414;QS 2022.1
11202111956;QS 2022.1
11023914;QS 2022.1
11099815;QS 2022.1
11121911;QS 2022.1
11202131328;QS 2022.1
11002314;QS 2022.1
11201722437;QS 2022.1
11202022082;QS 2022.1
11052211;QS 2022.1
11202210002;QS 2022.1
11085012;QS 2022.1
21076316;QS 2022.1
13201713127;QS 2022.1
21001912;QS 2022.1
11025216;QS 2022.1
11201720102;QS 2022.1
11201922373;QS 2022.1
11101214;QS 2022.1
21045715;QS 2022.1
11201722648;QS 2022.1
11063116;QS 2022.1
21078612;QS 2022.1
11201722610;QS 2022.1
11202131254;QS 2022.1
11201920579;QS 2022.1
11022716;QS 2022.1
11077611;QS 2022.1
11202020256;QS 2022.1
11201921207;QS 2022.1
21055414;QS 2022.1
21069016;QS 2022.1
21023616;QS 2022.1
11202131268;QS 2022.1
11099511;QS 2022.1
11201721343;QS 2022.1
11201920975;QS 2022.1
11006111;QS 2022.1
11201822485;QS 2022.1
21083414;QS 2022.1
21030812;QS 2022.1
11029115;QS 2022.1
11009514;QS 2022.1
11201922242;QS 2022.1
11201810415;QS 2022.1
11076513;QS 2022.1
12202210174;QS 2022.1
21034012;QS 2022.1
11202021832;QS 2022.1
11092412;QS 2022.1
11201920237;QS 2022.1
11201920974;QS 2022.1
11039814;QS 2022.1
11202130533;QS 2022.1
21057914;QS 2022.1
11112514;QS 2022.1
11021416;QS 2022.1
11102615;QS 2022.1
11086413;QS 2022.1
11106014;QS 2022.1
21064913;QS 2022.1
21003115;QS 2022.1
11122215;QS 2022.1
21048415;QS 2022.1
11201722831;QS 2022.1
21011614;QS 2022.1
11201811167;QS 2022.1
11201922382;QS 2022.1
11201721130;QS 2022.1
11201810961;QS 2022.1
21073616;QS 2022.1
11201921422;QS 2022.1
21059612;QS 2022.1
11058116;QS 2022.1
11201722030;QS 2022.1
11202020049;QS 2022.1
11201921526;QS 2022.1
21079916;QS 2022.1
11006715;QS 2022.1
11004815;QS 2022.1
11108813;QS 2022.1
11131809;QS 2022.1
12202210188;QS 2022.1
21089615;QS 2022.1
11037712;QS 2022.1
11201920651;QS 2022.1
11099514;QS 2022.1
21071915;QS 2022.1
11201812014;QS 2022.1
11040515;QS 2022.1
11202111056;QS 2022.1
11053611;QS 2022.1
21027516;QS 2022.1
11201920716;QS 2022.1
11201720576;QS 2022.1
21080516;QS 2022.1
11064015;QS 2022.1
21002714;QS 2022.1
11005116;QS 2022.1
21024716;QS 2022.1
11201920489;QS 2022.1
11050712;QS 2022.1
11202130526;QS 2022.1
11201810922;QS 2022.1
21013416;QS 2022.1
11201810752;QS 2022.1
21014512;QS 2022.1
11202130943;QS 2022.1
11084513;QS 2022.1
11202210126;QS 2022.1
11053113;QS 2022.1
11075614;QS 2022.1
11042516;QS 2022.1
11127809;QS 2022.1
11202131326;QS 2022.1
11202130308;QS 2022.1
11063215;QS 2022.1
11202022226;QS 2022.1
11201810841;QS 2022.1
21059016;QS 2022.1
11202021616;QS 2022.1
21093115;QS 2022.1
11202130615;QS 2022.1
11202021041;QS 2022.1
11116914;QS 2022.1
21002715;QS 2022.1
21036415;QS 2022.1
11201722066;QS 2022.1
11201722407;QS 2022.1
11201921688;QS 2022.1
11202111828;QS 2022.1
21051315;QS 2022.1
11202131233;QS 2022.1
11202130631;QS 2022.1
11109008;QS 2022.1
11201922249;QS 2022.1
11201920650;QS 2022.1
11018116;QS 2022.1
21038315;QS 2022.1
11058012;QS 2022.1
21001914;QS 2022.1
11088116;QS 2022.1
11202111060;QS 2022.1
11201810109;QS 2022.1
21015313;QS 2022.1
11083209;QS 2022.1
11202021765;QS 2022.1
11202020664;QS 2022.1
11077707;QS 2022.1
11202020106;QS 2022.1
11201811520;QS 2022.1
11202131802;QS 2022.1
